Circuit: * C:\Users\user\Desktop\spice\12-20UpConverter\12-20UpConverter.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000154 to 0.000154
Heightened Def Con from 0.000176 to 0.000176
Heightened Def Con from 0.000286 to 0.000286
Heightened Def Con from 0.000297 to 0.000297
Heightened Def Con from 0.000297 to 0.000297
Heightened Def Con from 0.000308 to 0.000308
Heightened Def Con from 0.00033 to 0.00033
Heightened Def Con from 0.000341 to 0.000341
Heightened Def Con from 0.000352 to 0.000352
Heightened Def Con from 0.000363 to 0.000363
Heightened Def Con from 0.000374 to 0.000374
Heightened Def Con from 0.000374 to 0.000374
Heightened Def Con from 0.000385 to 0.000385
Heightened Def Con from 0.000385 to 0.000385
Heightened Def Con from 0.000396 to 0.000396
Heightened Def Con from 0.000407 to 0.000407
Heightened Def Con from 0.000407 +++++to 0.000407
Heightened Def Con from 0.000407 to 0.000407
Heightened Def Con from 0.000418 to 0.000418
Heightened Def Con from 0.000418 to 0.000418
Heightened Def Con from 0.000429 to 0.000429
Heightened Def Con from 0.00044 to 0.00044
Heightened Def Con from 0.000451 to 0.000451
Heightened Def Con from 0.000451 to 0.000451
Heightened Def Con from 0.000473 to 0.000473
Heightened Def Con from 0.000484 +++++to 0.000484
Heightened Def Con from 0.000484 to 0.000484
Heightened Def Con from 0.000495 +++++to 0.000495
Heightened Def Con from 0.000495 to 0.000495
Heightened Def Con from 0.000506 to 0.000506
Heightened Def Con from 0.000506 to 0.000506
Heightened Def Con from 0.000517 to 0.000517
Heightened Def Con from 0.000517 to 0.000517
Heightened Def Con from 0.000528 to 0.000528
Heightened Def Con from 0.0005324 to 0.0005324
Heightened Def Con from 0.00055 to 0.00055
Heightened Def Con from 0.000561 to 0.000561
Heightened Def Con from 0.000561 to 0.000561
Heightened Def Con from 0.000572 to 0.000572
Heightened Def Con from 0.000583 to 0.000583
Heightened Def Con from 0.000583 to 0.000583
Heightened Def Con from 0.000594 +++++to 0.000594
Heightened Def Con from 0.000594 to 0.000594
Heightened Def Con from 0.000594 to 0.000594
Heightened Def Con from 0.000594 to 0.000594
Heightened Def Con from 0.000605 to 0.000605
Heightened Def Con from 0.000605 to 0.000605
Heightened Def Con from 0.000605 to 0.000605003
Heightened Def Con from 0.000616 to 0.000616
Heightened Def Con from 0.000627 to 0.000627
Heightened Def Con from 0.000638 +++++to 0.000638
Heightened Def Con from 0.000638 to 0.000638
Heightened Def Con from 0.000638 to 0.000638
Heightened Def Con from 0.000649 to 0.000649
Heightened Def Con from 0.00066 to 0.00066
Heightened Def Con from 0.000671 to 0.000671
Heightened Def Con from 0.000671 to 0.000671
Heightened Def Con from 0.000682 to 0.000682
Heightened Def Con from 0.000693 to 0.000693
Heightened Def Con from 0.000693 to 0.000693
Heightened Def Con from 0.000704 to 0.000704
Heightened Def Con from 0.000715 to 0.000715
Heightened Def Con from 0.000726 to 0.000726
Heightened Def Con from 0.000726 to 0.000726
Heightened Def Con from 0.000726 to 0.000726
Heightened Def Con from 0.000726 to 0.000726
Heightened Def Con from 0.000737 to 0.000737
Heightened Def Con from 0.000759 to 0.000759
Heightened Def Con from 0.00077 to 0.00077
Heightened Def Con from 0.000781 to 0.000781
Heightened Def Con from 0.000781 to 0.000781
Heightened Def Con from 0.000781 to 0.000781
Heightened Def Con from 0.000792 to 0.000792
Heightened Def Con from 0.000803 to 0.000803
Heightened Def Con from 0.000814 to 0.000814
Heightened Def Con from 0.000825 to 0.000825
Heightened Def Con from 0.000825 to 0.000825
Heightened Def Con from 0.000825 to 0.000825
Heightened Def Con from 0.000836 to 0.000836
Heightened Def Con from 0.000836 to 0.000836
Heightened Def Con from 0.000847 to 0.000847
Heightened Def Con from 0.000847 to 0.000847
Heightened Def Con from 0.000858 to 0.000858
Heightened Def Con from 0.000869 to 0.000869
Heightened Def Con from 0.000869 to 0.000869
Heightened Def Con from 0.00088 to 0.00088
Heightened Def Con from 0.000891 to 0.000891
Heightened Def Con from 0.000902 +++++to 0.000902
Heightened Def Con from 0.000902 to 0.000902
Heightened Def Con from 0.000902 to 0.000902
Heightened Def Con from 0.000913 to 0.000913
Heightened Def Con from 0.000924 to 0.000924
Heightened Def Con from 0.000935 +++++to 0.000935
Heightened Def Con from 0.000935 to 0.000935
Heightened Def Con from 0.000946 +++to 0.000946
Heightened Def Con from 0.000946 to 0.000946
Heightened Def Con from 0.000946 to 0.000946
Heightened Def Con from 0.000957 to 0.000957
Heightened Def Con from 0.000968 to 0.000968
Heightened Def Con from 0.000979 to 0.000979
Heightened Def Con from 0.00099 to 0.00099
Heightened Def Con from 0.00099 to 0.00099
Heightened Def Con from 0.001001 to 0.001001
Heightened Def Con from 0.001012 to 0.001012
Heightened Def Con from 0.001023 +++to 0.001023
Heightened Def Con from 0.001023 to 0.001023
Heightened Def Con from 0.001034 to 0.001034
Heightened Def Con from 0.001045 +++to 0.001045
Heightened Def Con from 0.001045 to 0.001045
Heightened Def Con from 0.001056 to 0.001056
